Date,PClose,Open,High,Low,Close
2019-06-12,124.9,125.0,126.3,121.15,121.8
2019-06-13,121.8,121.1,122.3,118.2,122.0
2019-06-14,122.0,122.8,123.0,119.9,120.45
2019-06-17,120.45,120.85,120.85,117.05,117.3
2019-06-18,117.3,118.0,120.85,115.3,117.05
2019-06-19,117.05,118.4,120.1,107.35,109.65
2019-06-20,109.65,107.5,114.1,106.3,113.5
2019-06-21,113.5,113.5,115.85,111.6,114.2
2019-06-24,114.2,114.2,115.15,112.2,113.75
2019-06-25,113.75,114.45,114.45,111.9,113.15
2019-06-26,113.15,112.4,116.25,112.1,115.45
2019-06-27,115.45,116.0,117.2,114.3,116.1
2019-06-28,116.1,116.2,117.15,114.25,115.15
2019-07-01,115.15,115.9,117.6,114.8,117.35
2019-07-02,117.35,117.35,117.7,114.8,116.55
2019-07-03,116.55,116.7,120.6,116.25,119.55
2019-07-04,119.55,119.75,121.9,119.3,120.05
2019-07-05,120.05,122.65,127.15,119.5,124.05
2019-07-08,124.05,125.4,125.4,119.25,121.2
2019-07-09,121.2,120.3,123.1,119.35,121.75
2019-07-10,121.75,121.75,122.7,117.45,119.3
2019-07-11,119.3,119.55,120.85,117.65,119.9
2019-07-12,119.9,119.7,122.8,119.0,120.45
2019-07-15,120.45,122.2,126.0,120.05,121.4
2019-07-16,121.4,121.7,122.2,118.5,120.75
2019-07-17,120.75,120.85,123.9,120.65,122.4
2019-07-18,122.4,121.8,122.25,116.8,117.2
2019-07-19,117.2,117.3,117.4,109.75,110.5
2019-07-22,110.5,106.5,110.7,105.5,108.05
2019-07-23,108.05,108.1,109.0,106.6,107.55
2019-07-24,107.55,107.35,108.5,102.35,102.7
2019-07-25,102.7,103.05,104.0,100.2,102.0
2019-07-26,102.0,102.2,106.1,101.7,103.75
2019-07-29,103.75,104.2,104.2,99.55,101.15
2019-07-30,101.15,101.65,102.9,97.0,97.65
2019-07-31,97.65,96.5,99.4,94.1,99.05
2019-08-01,99.05,97.35,100.35,94.2,96.2
2019-08-02,96.2,95.8,97.0,92.8,95.25
2019-08-05,95.25,94.2,97.05,91.95,94.8
2019-08-06,94.8,94.7,99.55,94.4,98.8
2019-08-07,98.8,99.1,101.75,95.65,96.15
2019-08-08,96.15,96.6,100.0,96.0,99.5
2019-08-09,99.5,99.95,107.2,99.95,103.95
2019-08-13,103.95,104.35,105.35,100.2,100.8
2019-08-14,100.8,102.15,104.45,101.0,103.85
2019-08-16,103.85,103.5,105.85,102.3,105.0
2019-08-19,105.0,105.8,106.35,103.65,104.8
2019-08-20,104.8,104.8,104.8,97.25,98.1
2019-08-21,98.1,97.9,98.8,95.5,96.65
2019-08-22,96.65,96.9,97.5,92.05,93.15
2019-08-23,93.15,93.1,93.15,88.55,89.9
2019-08-26,89.9,93.9,96.8,89.35,96.0
2019-08-27,96.0,97.0,99.6,97.0,98.25
2019-08-28,98.25,98.65,99.0,92.85,94.5
2019-08-29,94.5,94.8,95.9,91.9,93.0
2019-08-30,93.0,93.75,94.8,91.5,94.35
2019-09-03,94.35,92.95,94.35,91.1,91.9
2019-09-04,91.9,91.9,92.7,89.5,91.35
2019-09-05,91.35,92.6,94.0,91.4,91.7
2019-09-06,91.7,92.2,93.5,90.95,91.9
2019-09-09,91.9,92.0,93.75,90.8,92.9
2019-09-11,92.9,93.45,97.95,92.6,96.65
2019-09-12,96.65,97.5,99.3,95.65,96.15
2019-09-13,96.15,96.15,96.4,90.8,93.35
2019-09-16,93.35,92.8,96.4,91.55,94.95
2019-09-17,94.95,94.85,95.55,91.5,91.85
2019-09-18,91.85,92.55,93.25,91.55,92.15
2019-09-19,92.15,92.45,92.5,89.6,90.75
2019-09-20,90.75,91.7,100.45,90.05,99.1
2019-09-23,99.1,102.8,104.45,97.35,99.25
2019-09-24,99.25,100.35,101.15,96.6,97.05
2019-09-25,97.05,96.7,96.7,93.25,94.1
2019-09-26,94.1,94.35,96.6,93.2,95.95
2019-09-27,95.95,96.0,96.0,92.9,93.15
2019-09-30,93.15,93.15,93.85,83.55,84.75
2019-10-01,84.75,85.35,86.5,80.2,83.15
2019-10-03,83.15,82.9,85.9,81.0,82.0
2019-10-04,82.0,82.8,83.85,80.0,80.6
2019-10-07,80.6,81.6,82.0,79.5,80.25
2019-10-09,80.25,80.0,83.8,78.6,83.45
2019-10-10,83.45,82.95,82.95,80.15,81.5
2019-10-11,81.5,81.9,82.55,78.9,80.55
2019-10-14,80.55,81.0,83.4,80.4,81.65
2019-10-15,81.65,81.7,83.1,81.05,82.8
2019-10-16,82.8,83.0,85.15,82.0,83.1
2019-10-17,83.1,83.05,86.0,80.7,85.6
2019-10-18,85.6,86.0,86.5,83.75,85.4
2019-10-22,85.4,84.1,90.8,83.6,86.6
2019-10-23,86.6,86.5,88.65,85.55,87.65
2019-10-24,87.65,88.0,90.15,87.5,88.35
2019-10-25,88.35,88.6,89.85,87.0,89.15
